food_item,ingredients,no_of_servings,calories,protein,fats,carbohydrates
cashew mushroom makhana curry,"cashews: 4.0 tbsp,sliced mushrooms: 0.33 cup,lotus seeds: 0.5 cup,olive oil: 2.0 tsp,onion: 0.25,tomato: 1.0",2.0,188.975,8.705,12.0,11.79
achari baingan,"ginger garlic paste: 1.0 tbsp,small brinjal: 2.0 cup,olive oil: 3.3 tsp,dahi: 0.75 cup,onion: 0.5",3.0,132.5,5.0,7.816666667,10.0
capsicum besan bhaji,"besan: 0.25 cup,green capsicum: 2.0,olive oil: 2.0 tsp,ginger garlic paste: 0.5 tbsp,onion: 0.33",2.0,140.01,6.1,6.0,14.54
mushroom bell pepper fry,"sliced mushroom: 1.25 cup,green capsicum: 0.5,olive oil: 2.0 tsp,ginger garlic paste: 0.5 tbsp,onion: 0.25,tomato: 1.0",2.0,94.875,6.875,5.25,3.75
vegan chickpea burger patty,"garbanzo: 0.5 cup,gluten free all purpose flour: 0.1875 cup,olive oil: 4.0 tsp,onion: 1.0",4.0,160.875,6.1875,4.6875,10.0
spinach carrot paratha,"spinach: 1.0 cup,carrot: 0.5,atta: 2.5 cup,besan: 0.125 cup,dahi: 0.25 cup,olive oil: 5.0 tsp",10.0,126.55,4.0125,2.75,19.1125
masoor dal tadka,"masoor dal: 0.33 cup,tomato: 0.5,ginger garlic paste: 0.33 tbsp,olive oil: 1.5 tsp",2.0,155.4,8.68,4.155,18.895
aloo bhindi,"bhindi: 1.0 pods,potato: 0.5 large,olive oil: 3.0 tsp",1.0,288.0,4.5,12.0,37.5
homemade poha,"poha: 0.55 serving,raw chana dal: 0.5 tbsp,olive oil: 1.0 tsp,peanuts: 1.0 tbsp",1.0,209.15,4.15,15.65,4.7
masoor dal palak khichdi,"barnyard millet: 0.2 cup,masoor dal: 0.13 cup,spinach: 1.0 cup,potato: 0.33 large,olive oil: 1.0 tsp",1.0,187.155,6.085,2.93,32.645
soya chunks pulao,"soya chunks: 1.0 cup,olive oil: 2.5 tsp,onion: 0.7,potato: 0.5 large,tomato: 0.5",2.0,223.15,20.75,5.0,23.85
apple spinach flaxseed smoothie,"apple: 1.5,almond milk: 1.25 cup,flaxseed: 1.0 tbsp,spinach: 1.0 cup,pitted date: 7.0",2.0,192.5,1.125,2.75,37.375
rice flour and sooji dosa,"rice flour: 0.75 cup,sooji: 0.25 cup,dahi: 0.5 cup,olive oil: 2.67 tsp,onion: 0.5",8.0,101.2875,3.03125,2.085,17.34375
aloo capsicum sabji,"potato: 0.5 large,green capsicum: 0.5,tomato: 1.0,olive oil: 1.0 tsp,onion: 0.25",2.0,119.75,7.375,2.0,18.125
rice kheer,"white rice: 0.25 cup,almonds: 0.5 tbsp,ghee: 1.0 tsp,cashew piece: 5.0,oat milk: 2.0 cup,sugar: 6.0 tsp",2.0,305.5,4.875,7.875,80.75
aloo spinach carrot paratha,"spinach: 1.0 cup,roti: 5.0 serving,potato: 1.0 large,baby carrot: 4.0,olive oil: 2.5 tsp",5.0,176.4,4.4,2.0,30.8
peanut butter sandwich,"whole wheat bread: 2.0 slice,peanut butter: 1.0 tbsp,honey: 0.5 tbsp",1.0,324.0,12.0,10.0,49.5
green apple pear orange smoothie,"green apple: 1.0,pear: 1.0,orange: 1.0,greek yoghurt: 0.75 cup,pitted date: 8.0",2.0,295.0,9.5,0.0,64.75
strawberry blueberry banana smoothie,"strawberry: 5.0,blueberry: 0.25 box,banana: 0.5,greek yoghurt: 0.5 cup,almond milk: 1.25 cup,pitted date: 6.0",2.0,194.125,7.125,1.375,36.125
homemade tomato pasta,"onion: 0.5,mushroom: 0.7 cup,pasta sauce: 0.5 cup,pizza sauce: 0.25 cup,green capsicum: 0.67,red bell pepper: 0.25,pasta: 1.3 cup,olive oil: 2.0 tsp",2.0,270.03,12.11,6.3,42.97
aloo millet pulao,"barnyard millet: 0.25 cup,potato: 0.3 large,cashew: 4.0,peanuts: 0.5 tbsp,olive oil: 1.0 tsp",1.0,374.4,8.6,8.0,55.9
aloo millet pulao with ghee,"barnyard millet: 0.25 cup,potato: 0.3 large,cashew: 4.0,peanuts: 0.5 tbsp,ghee: 1.0 tsp",1.0,371.4,8.6,8.0,55.9
coriander coconut chutney,"coriander: 3.0 bunch,coconut: 0.75 cup,dalia: 0.5 cup",4.0,121.875,3.75,5.0,16.125
chana masala sabji with ghee,"garbanzo: 1.0 cup,ghee: 4.0 tsp,onion: 1.0,tomato: 3.0,chana masala: 0.25 tbsp,garam masala: 0.25 tsp",4.0,256.5,12.75,5.0625,12.375
rava dosa,"semolina: 0.5 cup,rice flour: 0.5 cup,atta: 0.25 cup,dahi: 0.25 cup,olive oil: 2.5 tsp",6.0,137.4166667,3.5,2.291666667,24.25
strawberry blueberry smoothie,"strawberry: 8.0,blueberry: 0.5 box,greek yoghurt: 0.6 cup,almond milk: 1.25 cup,pitted date: 8.0",2.0,228.0,8.325,1.5,42.125
brinjal sambar,"toor dal: 0.25 cup,brinjal: 1.0 cup,olive oil: 1.0 tsp,sambar masala: 0.125 tsp",1.0,195.75,8.0,4.5,30.125
bhindi pulao,"walnut: 2.0 tbsp,bhindi: 2.0 cup,millet: 0.75 cup,olive oil: 2.5 tsp",2.33,496.5665236,9.656652361,24.89270386,58.15450644
masala masoor,"olive oil: 1.0 tsp,masoor dal: 0.33 cup,onion: 0.125,tomato: 0.5",1.0,276.17,19.235,4.66,36.925
green peas pulao,"olive oil: 3.0 tsp,green peas: 0.5 serving,millet: 0.75 cup",2.33,322.7467811,8.154506438,8.798283262,50.42918455
apple pumpkin smoothie,"apple: 1.0,banana: 0.5,pumpkin: 0.125 cup,almond milk: 0.5 cup,greek yoghurt: 0.5 cup,date: 6.0",2.0,196.125,6.5625,0.5,41.4375
sprouts khichdi,"sprouts: 0.125 cup,millet: 0.2 cup,coconut: 0.5 cup,carrots and peas: 0.125 cup,olive oil: 1.0 tsp",1.0,398.325,6.275,17.6,53.825
goji berry pear smoothie,"green pear: 2.0,unsweetened almond milk: 1.125 cup,flaxseed powder: 1.0 tbsp,walnuts: 2.0 tbsp,pitted date: 7.0,goji berries: 2.0 tbsp",2.0,285.875,2.0625,6.625,53.5625
millet idli,"barnyard millet: 0.7 cup,urad dal: 0.35 cup,poha: 0.2 serving,methi seeds: 0.1 tbsp",10.0,82.665,3.3,0.96,14.7
apple pear smoothie,"apple: 1.0,green pear: 1.0,unsweetened almond milk: 1.0 cup,greek yoghurt: 0.5 cup,pitted date: 8.0",2.0,245.0,6.5,1.0,49.5
ghee rajma sabji,"rajma: 1.0 cup,olive oil: 4.0 tsp,ghee: 1.0 tsp,onion: 1.0,tomato: 2.5",6.0,155.9166667,12.58333333,3.5,18.91666667
filter coffee mocha,"sweetened oat milk: 0.67 cup,sugar: 6.0 tsp,black coffee: 1.0 serving",2.0,94.2,1.005,1.675,57.86
indian style vegan tofu pizza,"whole wheat pizza crust: 1.0,ragu pizza sauce: 0.5 cup,vegan mozzarella cheese: 1.0 cup,green capsicum: 0.5,mushroom: 0.5 cup,onion: 0.5,tomato: 1.5,firm tofu: 0.4 block,olive oil: 2.0 tsp",2.0,424.0,25.0,14.5,54.75
kala chana onion tomato salad,"kala chana: 0.33 cup,onion: 0.125,tomato: 0.5",2.0,75.845,5.6575,0.99,10.7075
high protein soya chunks dosa,"soya chunks: 1.0 cup,tomato: 1.0,rice flour: 0.75 cup,aashirvaad multigrain atta: 1.0 cup,olive oil: 6.0 tsp",12.0,104.7083333,4.3125,2.291666667,15.27083333
ragada pattice,"potato: 2.0 large,poha: 0.25 serving,olive oil: 2.0 tsp,vatana: 1.5 cup,onion: 1.0,bombay chutney: 12.0 tsp,jaggery: 24.0 tsp,tamarind paste: 4.0 tbsp",6.0,300.2916667,13.95833333,1.875,64.66666667
spring onion tambali,"spring onion: 3.0 stalk,shredded coconut: 0.125 cup,dahi: 1.0 cup,olive oil: 1.0 tsp",4.0,62.625,2.5625,3.5,5.625
goji berry apple smoothie,"apple: 1.0,unsweetened almond milk: 1.25 cup,pitted date: 6.0,walnuts: 2.0 tbsp,goji berries: 2.0 tbsp,flaxseed powder: 1.0 tbsp",2.0,222.75,2.125,6.75,34.125
vegan blueberry no bake cheesecake,"pitted date: 21.0,peanut butter: 4.0 tbsp,cashew pieces: 90.0,blueberry: 0.33 box,honey: 4.0 tbsp",6.0,330.7616667,2.776666667,5.388333333,37.52333333
madatha kaja,"all purpose flour: 1.0 cup,ghee: 9.0 tsp,olive oil: 24.0 tsp,sugar: 48.0 tsp",4.0,617.0,3.0,33.25,203.75
tomato millet with powder,"barnyard millet: 0.75 cup,mtr tomato rice powder: 2.0 pack,olive oil: 4.0 tsp,raw chana dal: 1.0 tbsp,peanuts: 2.5 tbsp",3.0,323.3333333,7.5,11.66666667,42.33333333
coffee with oat creamer,planet oat creamer: 2.0 tbsp,1.0,50.0,0.0,2.0,8.0
red apple pear orange smoothie no yogurt,"apple: 1.0,green pear: 1.0,orange: 1.0,pitted date: 8.0,unsweetened almond milk: 1.25 cup",2.0,253.75,1.125,1.25,58.625
capsicum besan sabji,"green capsicum: 1.0,besan: 0.33 cup,olive oil: 2.0 tsp,onion: 0.75",1.0,263.48,19.18,9.98,25.24
vegetable lasagna with tofu ricotta,"pasta lasagna sheet: 6.0 sheet,red bell pepper: 0.5,green capsicum: 0.5,zucchini: 1.0 medium,eggplant: 4.0,mushroom: 0.5 cup,olive oil: 8.0 tsp,basil pasta sauce: 2.0 cup,firm tofu: 0.5 block,nutritional yeast: 1.5 tbsp,half yolk egg: 2.0 serving,spinach: 1.0 cup,vegan mozzarella cheese: 0.25 cup",4.0,560.25,21.75,16.25,85.875
moong dal fry,"yellow moong dal: 0.25 cup,olive oil: 1.0 tsp,onion: 0.25,tomato: 1.0",1.0,171.75,17.0,4.25,16.25
veggie penne pasta no cheese,"zucchini: 0.2 medium,eggplant: 0.5,green capsicum: 0.5,red bell pepper: 0.5,basil pasta sauce: 1.5 cup,olive oil: 2.0 tsp,whole wheat pasta: 1.5 cup",2.0,386.75,11.95,9.5,66.75
