food_item,measure,calories,protein,fats,carbohydrates
poha,1 serving,183.15,3.15,13.65,4.2
makhana,1 serving,90.0,2.0,3.5,13.0
rava chowmein,1 serving,372.0,10.0,0.5,82.0
harvest snaps green peas,1 serving,130.0,5.0,5.0,16.0
millet dosa,1 serving,129.95625,4.3,2.875,20.675
coriander chutney,1 serving,68.91666667,6.75,3.5,2.416666667
half yolk egg,1 serving,46.0,4.0,2.0,0.0
multigrain roti,1 serving,97.5,3.5,0.5,18.0
moong dal khichdi,1 serving,396.53,15.05,11.63,49.45
berry banana smoothie,1 serving,246.5,5.7,1.7,52.1
mocha,1 serving,147.1,2.68,3.35,72.73
khakra chaat,1 serving,174.625,10.3125,6.625,18.6875
tava bhindi,1 serving,115.0,2.4,4.15,15.525
lemon millet,1 serving,297.5,8.0,10.5,39.0
chowmein,1 serving,351.1966667,11.25,5.333333333,62.13333333
apple banana smoothie,1 serving,233.45,2.15,5.1,45.25
masoor dal khichdi,1 serving,436.92,13.36,16.66,54.55
millet pongal,1 serving,351.73,8.71,15.59,40.28
black coffee,1 serving,18.75,0.125,0.25,15.125
rava upma,1 serving,276.14,7.58,10.58,34.74
apple smoothie,1 serving,205.5,2.1,6.7,33.6
indian milk tea,1 serving,62.7,1.005,1.675,27.86
red sauce pasta,1 serving,387.45,12.4125,14.8,49.2625
egg fried millet,1 serving,555.429,18.503,18.332,70.829
aloo paratha,1 serving,245.6,5.4,9.0,37.6
beans sabji,1 serving,96.0,7.0,7.0,29.5
brinjal sabji,1 serving,154.24,3.58,4.06,22.88
spring mix salad,1 serving,142.5,0.5,6.0,8.0
pani puri chaat,1 serving,53.83,2.3875,1.4,9.2075
pesarattu upma,1 serving,489.25,24.75,14.25,63.125
panchmel dal,1 serving,140.875,7.71875,5.28125,12.5
millet biryani,1 serving,505.93,13.085,15.915,74.53
pumpkin chutney,1 serving,74.0,2.0,3.666666667,6.833333333
apple peanut butter smoothie,1 serving,264.0,12.0,14.5,20.5
gutti vankaya,1 serving,169.2975,3.79875,8.595,16.8725
palak sambar,1 serving,69.25,2.0,3.125,7.0
bhindi dopyaza,1 serving,221.87,11.93,9.835,19.35
chana masala sabji,1 serving,267.75,14.5,5.0625,12.625
mini bell pepper salad,1 serving,114.95,4.55,0.0,10.65
